id,의사소통능력,문제해결능력,대인관계능력,자기개발능력,열정및의지력,수학지식,통계학지식,머신러닝지식,딥러닝지식,데이터처리능력,데이터분석능력,데이터시각화능력,알고리즘구현능력,인공지능모델링능력,해결하고싶은과제점수,result
0,0.0,60.0,70.0,90.0,0.0,0.0,60.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0,0
1,0.0,90.0,70.0,80.0,60.0,0.0,80.0,40.0,0.0,50.0,90.0,60.0,0.0,0.0,20,0
2,0.0,50.0,70.0,80.0,60.0,60.0,80.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,0
3,0.0,50.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,65,0
4,0.0,0.0,40.0,80.0,70.0,80.0,90.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,45,0
5,0.0,70.0,50.0,90.0,80.0,60.0,70.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,78,0
6,40.0,70.0,0.0,90.0,60.0,90.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,15,0
7,0.0,50.0,70.0,80.0,60.0,70.0,50.0,80.0,0.0,0.0,0.0,0.0,60.0,0.0,65,0
8,0.0,50.0,60.0,90.0,80.0,50.0,70.0,0.0,0.0,90.0,80.0,60.0,0.0,0.0,40,0
9,50.0,70.0,40.0,90.0,80.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,40,0
10,40.0,60.0,0.0,90.0,80.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,25,0
11,0.0,60.0,70.0,90.0,80.0,70.0,60.0,80.0,0.0,0.0,40.0,0.0,50.0,0.0,50,0
12,0.0,0.0,80.0,60.0,70.0,70.0,90.0,60.0,0.0,0.0,100.0,50.0,0.0,0.0,78,1
13,0.0,60.0,80.0,90.0,70.0,70.0,80.0,0.0,0.0,0.0,90.0,0.0,50.0,0.0,80,0
14,0.0,60.0,75.0,85.0,70.0,60.0,70.0,50.0,50.0,40.0,80.0,0.0,0.0,0.0,40,0
15,60.0,80.0,0.0,50.0,90.0,70.0,80.0,50.0,90.0,30.0,60.0,40.0,0.0,0.0,60,0
16,0.0,40.0,60.0,90.0,80.0,60.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,40,0
17,0.0,60.0,80.0,90.0,70.0,50.0,80.0,70.0,60.0,40.0,90.0,0.0,30.0,0.0,40,0
18,40.0,80.0,0.0,90.0,70.0,70.0,80.0,60.0,0.0,40.0,90.0,50.0,0.0,0.0,83,0
19,0.0,0.0,40.0,80.0,70.0,0.0,70.0,50.0,0.0,60.0,80.0,0.0,0.0,0.0,50,0
20,0.0,80.0,70.0,90.0,60.0,0.0,80.0,0.0,0.0,0.0,90.0,70.0,0.0,0.0,78,0
21,0.0,80.0,70.0,90.0,60.0,70.0,60.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,40,0
22,0.0,50.0,60.0,90.0,80.0,70.0,80.0,60.0,40.0,50.0,90.0,0.0,40.0,0.0,75,1
23,0.0,80.0,70.0,90.0,60.0,60.0,50.0,30.0,0.0,40.0,80.0,70.0,0.0,0.0,15,0
24,0.0,70.0,40.0,90.0,80.0,0.0,70.0,0.0,90.0,80.0,0.0,0.0,0.0,0.0,40,0
25,50.0,70.0,60.0,80.0,0.0,60.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,50.0,10,0
26,0.0,60.0,80.0,90.0,70.0,0.0,60.0,80.0,0.0,0.0,50.0,0.0,0.0,0.0,70,1
27,70.0,0.0,60.0,90.0,80.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40,0
28,90.0,0.0,70.0,80.0,60.0,60.0,70.0,40.0,0.0,30.0,80.0,0.0,0.0,0.0,40,0
29,0.0,60.0,50.0,90.0,80.0,0.0,70.0,60.0,0.0,0.0,80.0,40.0,0.0,0.0,0,0
30,0.0,60.0,70.0,85.0,50.0,50.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,65,0
31,70.0,50.0,80.0,0.0,60.0,60.0,90.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,15,0
32,0.0,80.0,60.0,90.0,70.0,50.0,70.0,40.0,0.0,0.0,80.0,0.0,60.0,0.0,83,0
33,60.0,80.0,70.0,0.0,50.0,70.0,80.0,0.0,50.0,0.0,0.0,0.0,60.0,0.0,0,0
34,0.0,70.0,80.0,60.0,90.0,60.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,60,0
35,0.0,80.0,90.0,60.0,70.0,70.0,60.0,0.0,0.0,90.0,80.0,0.0,50.0,0.0,40,1
